TITLE,FRAME_SIZE,PRDCT_SIZE,PRDCT_CL,PRDCT_CL_NM,WRITER,NATION,LOCATION,IMAGE_URL,IMAGE_NM,RDCNT,WRHOUSNG_DT,ACQS_DT
"02.01.19, 11:40~14:15 철암 경석장, 선탄장, 선탄장",88.1x68.2cm,69.5x50cm,7,드로잉,류장복,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/f27d99ae-6ad2-4b95-9b4e-3dbf748c5a31.jpg,077_류정복_2002.01.19_1140-1415 철암 경석장 선탄장 선탄장_soma_1810_acv__DSC0154.jpg,6,20060401,20060605
"02.1.18, 12:39~15:30 겨울 철암, 선탄장",94.1x74.2cm,76x56cm,7,드로잉,류장복,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/3ce71299-6625-4bb8-9236-a485da0cebfa.jpg,078_류정복_2002.1.18_1239-1530 겨울 철암 선탄장__soma_1810_acv__DSC0160.jpg,9,20060401,20060605
"02.12, &#39;03.4.28 삼방동 눈",124.4x96.8cm,105.5x78.5cm,7,드로잉,류장복,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/e6038c47-ec57-4cdd-8dfb-7bfd69b95400.jpg,080_류정복_2002.12 2003.4.28 삼방동 눈_soma_1810_acv__DSC0152.jpg,12,20060401,20060605
올리다 03,160X59cm(가변설치),160X59cm(가변설치),6,조각,이상민,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/6f1127ac-376b-479e-be1d-fffd739f487c.jpg,184_이상민_올리다 03.jpg,23,20111125,20111125
"03.1.14, 16:30~17:25 백화산 똥골",106x78.5cm,106x78.5cm,7,드로잉,류장복,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/966d5c85-f2ce-450f-927b-e74060bdfc4b.jpg,079_류정복_2003.1.14_1630-1725 백화산 똥골_soma_1810_acv__DSC0404.jpg,11,20060401,20060605
버티다 04,94X52cm(가변설치),94X52cm(가변설치),6,조각,이상민,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/0032173e-c2c3-4604-8b84-8ceb706c8add.jpg,183_ 이상민_버티다 04.jpg,13,20111125,20111125
우린 그렇게 노래한다네_1,59.5x82.5cm,56x78cm,7,드로잉,송민규,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/a9f8bbb4-9bb7-42e1-9416-7e8e7ef08c31.jpg,125_송민규_우린 그렇게 노래한다네_1_soma_1810_acv__DSC0330.jpg,11,20071201,20071218
서울 모더니즘_1,72.4x29.5cm,70x27cm,7,드로잉,박용석,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/1ee9eb01-b0f7-4325-bf3e-44139f72b8e6.jpg,091_박용석_서울 모더니즘_1_soma_1810_acv__DSC0320.jpg,9,20061201,20061228
무제_1,112.6x87.9cm,108x83cm,5,사진,성남훈,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/a11e69c7-469a-4e96-a7c2-3a7cbd70c327.jpg,052_성남훈_무제_1_soma_1810_acv__DSC0106.jpg,2,20051201,20051230
무제_1,85x39cm,29x21cm,7,드로잉,이영빈,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/5c6f70ca-81e1-4d1c-bc87-1d2d151ef44e.jpg,129_이영빈_무제_1_soma_1810_acv__DSC0070.jpg,11,20071201,20071218
